task_id,model_type,dataset,batch_size,start_time_ms,deadline_ms,data_size,pruning_amount
1,resnet50,cifar10,1,500,100,1,0
2,resnet50,cifar10,1,10500,200,1,0
3,resnet50,cifar10,1,20500,300,1,0
4,resnet50,cifar10,1,30500,400,1,0
5,resnet50,cifar10,1,40500,500,1,0
6,resnet50,cifar10,1,50500,600,1,0
7,resnet50,cifar10,1,60500,700,1,0
8,resnet50,cifar10,1,70500,800,1,0
9,resnet50,cifar10,1,80500,900,1,0
10,resnet50,cifar10,1,90500,1000,1,0
11,resnet50,cifar10,1,100500,1500,1,0
12,resnet50,cifar10,1,110500,2000,1,0
13,resnet50,cifar10,1,120500,2500,1,0
14,resnet50,cifar10,1,130500,3000,1,0
15,resnet50,cifar10,1,140500,3500,1,0
16,resnet50,cifar10,1,150500,4000,1,0
17,resnet50,cifar10,1,160500,4500,1,0
18,resnet50,cifar10,1,170500,5000,1,0
19,resnet50,cifar10,1,180500,5500,1,0
20,resnet50,cifar10,1,190500,6000,1,0
21,resnet50,cifar10,1,200500,6500,1,0
22,resnet50,cifar10,1,210500,7000,1,0
23,resnet50,cifar10,1,220500,7500,1,0
24,resnet50,cifar10,1,230500,8000,1,0
25,resnet50,cifar10,1,240500,8500,1,0
26,resnet50,cifar10,1,250500,9000,1,0
27,resnet50,cifar10,1,260500,9500,1,0
28,resnet50,cifar10,1,270500,10000,1,0
29,resnet50,cifar10,1,280500,100,1,0.52
30,resnet50,cifar10,1,290500,200,1,0.52
31,resnet50,cifar10,1,300500,300,1,0.52
32,resnet50,cifar10,1,310500,400,1,0.52
33,resnet50,cifar10,1,320500,500,1,0.52
34,resnet50,cifar10,1,330500,600,1,0.52
35,resnet50,cifar10,1,340500,700,1,0.52
36,resnet50,cifar10,1,350500,800,1,0.52
37,resnet50,cifar10,1,360500,900,1,0.52
38,resnet50,cifar10,1,370500,1000,1,0.52
39,resnet50,cifar10,1,380500,1500,1,0.52
40,resnet50,cifar10,1,390500,2000,1,0.52
41,resnet50,cifar10,1,400500,2500,1,0.52
42,resnet50,cifar10,1,410500,3000,1,0.52
43,resnet50,cifar10,1,420500,3500,1,0.52
44,resnet50,cifar10,1,430500,4000,1,0.52
45,resnet50,cifar10,1,440500,4500,1,0.52
46,resnet50,cifar10,1,450500,5000,1,0.52
47,resnet50,cifar10,1,460500,5500,1,0.52
48,resnet50,cifar10,1,470500,6000,1,0.52
49,resnet50,cifar10,1,480500,6500,1,0.52
50,resnet50,cifar10,1,490500,7000,1,0.52
51,resnet50,cifar10,1,500500,7500,1,0.52
52,resnet50,cifar10,1,510500,8000,1,0.52
53,resnet50,cifar10,1,520500,8500,1,0.52
54,resnet50,cifar10,1,530500,9000,1,0.52
55,resnet50,cifar10,1,540500,9500,1,0.52
56,resnet50,cifar10,1,550500,10000,1,0.52
57,resnet50,cifar10,1,560500,100,1,0.56
58,resnet50,cifar10,1,570500,200,1,0.56
59,resnet50,cifar10,1,580500,300,1,0.56
60,resnet50,cifar10,1,590500,400,1,0.56
61,resnet50,cifar10,1,600500,500,1,0.56
62,resnet50,cifar10,1,610500,600,1,0.56
63,resnet50,cifar10,1,620500,700,1,0.56
64,resnet50,cifar10,1,630500,800,1,0.56
65,resnet50,cifar10,1,640500,900,1,0.56
66,resnet50,cifar10,1,650500,1000,1,0.56
67,resnet50,cifar10,1,660500,1500,1,0.56
68,resnet50,cifar10,1,670500,2000,1,0.56
69,resnet50,cifar10,1,680500,2500,1,0.56
70,resnet50,cifar10,1,690500,3000,1,0.56
71,resnet50,cifar10,1,700500,3500,1,0.56
72,resnet50,cifar10,1,710500,4000,1,0.56
73,resnet50,cifar10,1,720500,4500,1,0.56
74,resnet50,cifar10,1,730500,5000,1,0.56
75,resnet50,cifar10,1,740500,5500,1,0.56
76,resnet50,cifar10,1,750500,6000,1,0.56
77,resnet50,cifar10,1,760500,6500,1,0.56
78,resnet50,cifar10,1,770500,7000,1,0.56
79,resnet50,cifar10,1,780500,7500,1,0.56
80,resnet50,cifar10,1,790500,8000,1,0.56
81,resnet50,cifar10,1,800500,8500,1,0.56
82,resnet50,cifar10,1,810500,9000,1,0.56
83,resnet50,cifar10,1,820500,9500,1,0.56
84,resnet50,cifar10,1,830500,10000,1,0.56
85,resnet50,cifar10,1,840500,100,1,0.6
86,resnet50,cifar10,1,850500,200,1,0.6
87,resnet50,cifar10,1,860500,300,1,0.6
88,resnet50,cifar10,1,870500,400,1,0.6
89,resnet50,cifar10,1,880500,500,1,0.6
90,resnet50,cifar10,1,890500,600,1,0.6
91,resnet50,cifar10,1,900500,700,1,0.6
92,resnet50,cifar10,1,910500,800,1,0.6
93,resnet50,cifar10,1,920500,900,1,0.6
94,resnet50,cifar10,1,930500,1000,1,0.6
95,resnet50,cifar10,1,940500,1500,1,0.6
96,resnet50,cifar10,1,950500,2000,1,0.6
97,resnet50,cifar10,1,960500,2500,1,0.6
98,resnet50,cifar10,1,970500,3000,1,0.6
99,resnet50,cifar10,1,980500,3500,1,0.6
100,resnet50,cifar10,1,990500,4000,1,0.6
101,resnet50,cifar10,1,1000500,4500,1,0.6
102,resnet50,cifar10,1,1010500,5000,1,0.6
103,resnet50,cifar10,1,1020500,5500,1,0.6
104,resnet50,cifar10,1,1030500,6000,1,0.6
105,resnet50,cifar10,1,1040500,6500,1,0.6
106,resnet50,cifar10,1,1050500,7000,1,0.6
107,resnet50,cifar10,1,1060500,7500,1,0.6
108,resnet50,cifar10,1,1070500,8000,1,0.6
109,resnet50,cifar10,1,1080500,8500,1,0.6
110,resnet50,cifar10,1,1090500,9000,1,0.6
111,resnet50,cifar10,1,1100500,9500,1,0.6
112,resnet50,cifar10,1,1110500,10000,1,0.6
113,resnet50,cifar10,1,1120500,100,1,0.64
114,resnet50,cifar10,1,1130500,200,1,0.64
115,resnet50,cifar10,1,1140500,300,1,0.64
116,resnet50,cifar10,1,1150500,400,1,0.64
117,resnet50,cifar10,1,1160500,500,1,0.64
118,resnet50,cifar10,1,1170500,600,1,0.64
119,resnet50,cifar10,1,1180500,700,1,0.64
120,resnet50,cifar10,1,1190500,800,1,0.64
121,resnet50,cifar10,1,1200500,900,1,0.64
122,resnet50,cifar10,1,1210500,1000,1,0.64
