task_id,model_type,dataset,batch_size,start_time,actual_start_time,deadline,elapsed_time_ms,missed_deadline,model_variant,data_size
7,resnet50,cifar10,1000,0,1515.4750347137451,60000,21811.571836471558,False,resnet50_original.pth,1
1,resnet50,cifar10,1000,0,1568.6461925506592,60000,21820.088863372803,False,resnet50_original.pth,1
3,resnet50,cifar10,1000,0,1571.6922283172607,60000,21847.163200378418,False,resnet50_original.pth,1
32,resnet50,cifar10,1000,0,2207.2436809539795,60000,22334.31649208069,False,resnet50_original.pth,1
15,resnet50,cifar10,1000,0,2432.246446609497,60000,22697.519779205322,False,resnet50_original.pth,1
42,vit_b_16,cifar10,1000,58209,62758.04018974304,43803,36862.852811813354,False,vit_b_16_original.pth,1
41,vit_b_16,cifar10,1000,58209,63318.28784942627,43803,37877.57635116577,False,vit_b_16_original.pth,1
38,resnet50,cifar10,1000,50001,64009.8659992218,60000,46655.58195114136,False,resnet50_original.pth,1
36,resnet50,cifar10,1000,20000,63764.30797576904,60000,77809.53192710876,True,resnet50_original.pth,1
39,vit_b_16,cifar10,1000,58209,63314.28813934326,43803,39603.5315990448,False,vit_b_16_original.pth,1
31,resnet50,cifar10,1000,0,96912.2908115387,60000,128800.15015602112,True,resnet50_original.pth,1
33,resnet50,cifar10,1000,0,97588.47236633301,60000,129959.14077758789,True,resnet50_original.pth,1
29,resnet50,cifar10,1000,0,98873.7096786499,60000,131500.807762146,True,resnet50_original.pth,1
30,resnet50,cifar10,1000,0,98670.60780525208,60000,131615.62061309814,True,resnet50_original.pth,1
28,resnet50,cifar10,1000,0,129665.73524475098,60000,150023.5664844513,True,resnet50_original.pth,1
9,resnet50,cifar10,2000,0,130981.84847831726,60000,151359.30275917053,True,resnet50_original.pth,1
26,resnet50,cifar10,1000,0,132413.4006500244,60000,153487.28847503662,True,resnet50_original.pth,1
25,resnet50,cifar10,1000,0,132408.46300125122,60000,153730.69977760315,True,resnet50_original.pth,1
23,resnet50,cifar10,1000,0,151028.902053833,60000,168703.15027236938,True,resnet50_original.pth,1
22,resnet50,cifar10,1000,0,152445.24264335632,60000,170119.61770057678,True,resnet50_original.pth,1
21,resnet50,cifar10,1000,0,154744.51541900635,60000,172460.46948432922,True,resnet50_original.pth,1
20,resnet50,cifar10,1000,0,155064.38827514648,60000,172780.20429611206,True,resnet50_original.pth,1
19,resnet50,cifar10,1000,0,169795.1078414917,60000,187855.29828071594,True,resnet50_original.pth,1
18,resnet50,cifar10,1000,0,171160.34173965454,60000,189662.49799728394,True,resnet50_original.pth,1
17,resnet50,cifar10,1000,0,173766.58034324646,60000,192162.42218017578,True,resnet50_original.pth,1
14,resnet50,cifar10,1000,0,174114.6914958954,60000,192622.00689315796,True,resnet50_original.pth,1
16,resnet50,cifar10,1000,0,188708.61864089966,60000,207217.66591072083,True,resnet50_original.pth,1
13,resnet50,cifar10,1000,0,190615.65446853638,60000,209101.18317604065,True,resnet50_original.pth,1
12,resnet50,cifar10,1000,0,193245.7082271576,60000,211390.4869556427,True,resnet50_original.pth,1
11,resnet50,cifar10,1000,0,193592.01002120972,60000,211945.89352607727,True,resnet50_original.pth,1
10,resnet50,cifar10,1000,0,208076.19857788086,60000,226180.8955669403,True,resnet50_original.pth,1
4,resnet50,cifar10,1000,0,209759.6890926361,60000,227642.47703552246,True,resnet50_original.pth,1
6,resnet50,cifar10,1000,0,212189.18919563293,60000,229650.82550048828,True,resnet50_original.pth,1
8,resnet50,cifar10,1000,0,212709.08117294312,60000,230402.74119377136,True,resnet50_original.pth,1
5,resnet50,cifar10,1000,0,227229.72440719604,60000,244337.07642555237,True,resnet50_original.pth,1
2,resnet50,cifar10,1000,0,228677.46901512146,60000,246031.4531326294,True,resnet50_original.pth,1
